"row.names","yn","agen","sensn","frn","alcmov"
126,0,3,1,2,5.4903141678767
127,0,1,1,1,4.33620078918866
128,0,3,1,2,4.23615041896605
129,0,0,0,1,2.52509352444944
130,0,0,0,1,3.99152923452476
131,0,0,0,1,4.23615041896605
132,0,4,1,2,4.18152713029026
133,0,4,1,1,3.98375642157513
134,0,3,0,1,3.76161529921157
135,0,4,0,2,4.32597434229032
136,0,2,0,1,3.47674786246473
137,0,1,0,1,3.40762826587915
138,0,1,0,1,3.64095427980759
139,0,1,0,1,4.77168112155741
140,0,3,0,1,4.35523281946337
141,0,0,1,1,3.98256617807635
142,0,3,1,1,4.82655737402158
143,0,3,1,3,3.19273057002677
144,0,2,0,1,3.6303133578978
145,0,0,1,1,4.23509695066516
146,0,3,0,1,4.28502542971597
147,0,0,0,1,2.6014117226817
148,0,4,1,1,4.84145021919039
149,0,1,1,1,4.26814219193498
150,0,4,0,1,3.95492764419167
151,0,1,0,1,3.55356075091532
152,0,2,0,1,4.90667861844014
153,0,0,0,1,3.44744997727448
154,1,4,1,3,4.58019419470302
155,0,2,0,1,4.00057642863194
156,0,0,1,1,3.42702141963709
157,0,3,0,1,2.903512501657
158,0,3,1,2,4.32090106533693
159,0,3,1,1,4.22867691115611
160,0,0,0,1,4.49750089550597
161,0,1,1,1,3.76762987605848
162,0,1,0,1,4.17869141866084
163,0,1,0,1,0
164,0,3,0,1,3.71897746470681
165,0,2,0,1,4.62440703089248
166,0,3,1,1,4.2572480664025
167,0,2,0,1,4.55231622615333
168,1,4,1,3,4.88488096622723
169,0,1,0,1,3.5169207346938
170,0,0,1,1,4.89237133837299
171,0,3,1,2,5.097382955964
172,0,3,0,1,2.91483581402328
173,0,3,0,1,4.42775090004548
174,0,2,1,2,0
175,0,2,0,1,4.32827415586427
176,0,2,1,1,4.27639375492908
177,0,2,0,1,4.55935893691784
178,0,3,1,1,5.34436205158542
179,0,2,1,1,4.68924471886239
180,0,1,0,1,3.74647430122679
181,0,1,1,1,4.4057144537921
182,0,1,0,1,3.68932843854094
183,1,3,1,2,4.81275143693329
184,0,1,0,1,3.26788743494079
185,0,3,1,1,4.72642193015849
186,0,0,0,1,2.03634830779171
187,0,1,0,1,5.12880092437806
188,0,2,1,2,5.47852882409522
189,0,0,0,1,2.2963931144533
190,0,1,0,1,3.72470074572062
191,0,4,1,2,3.79059200475608
192,0,1,0,1,5.11309839731154
193,0,2,0,1,4.82809453603336
194,0,3,0,2,4.19866423029466
195,0,2,0,2,4.49675486198826
196,0,4,1,1,3.88021200993624
197,0,0,0,1,3.97127799429806
198,0,0,1,2,3.54600222209752
199,0,2,0,1,4.27424775200661
200,0,0,1,1,4.09827619749306
201,0,2,0,1,0
202,0,0,1,1,2.66774250213017
203,0,3,0,1,5.40842972736178
204,0,1,1,2,5.50074251736986
205,0,3,0,1,4.75421797210532
206,0,1,0,1,4.20669975355646
207,0,0,0,1,4.69683736059166
208,0,0,0,1,5.28362662533036
209,0,3,0,1,4.88450506311212
210,0,1,0,1,3.78926493204493
211,0,2,0,1,4.00701415629861
212,0,0,0,1,3.93725749313842
213,0,3,1,1,4.65526412633672
214,0,0,0,1,5.66029214532727
215,0,3,0,1,3.56530870869838
216,0,3,0,1,4.49649293403889
217,0,3,0,3,5.27066121478848
218,0,1,0,1,1.40310150327813
219,0,2,0,2,3.19273057002677
220,0,1,1,1,4.80128504401193
221,0,2,0,1,4.94721387879827
222,0,0,0,1,4.66325042873978
223,1,4,1,2,4.5319165522464
224,0,3,0,1,4.83671469060065
225,0,4,1,1,5.43923803993355
226,0,0,0,1,3.80396525537708
227,0,3,0,1,3.85883856462634
228,0,0,1,1,5.10693163003727
229,0,2,0,1,4.21485294342909
230,0,2,1,1,4.88332428406036
231,0,1,0,1,3.27687896442781
232,0,3,1,1,5.08899596143036
233,0,1,0,1,4.23615041896605
234,0,4,1,3,2.903512501657
235,0,3,1,1,5.39410593366028
236,0,2,0,1,4.45112587969405
237,0,2,1,1,5.34016281177328
238,0,3,0,2,3.90069142094285
239,1,2,1,1,5.22192707009894
240,0,4,1,3,4.82577719780899
241,0,2,0,1,3.69049681689457
242,0,0,0,1,4.51633897228148
243,0,1,0,1,3.88544535845673
244,1,2,1,2,3.83406146395843
245,1,1,1,2,4.43720657611571
246,0,2,1,1,4.64850333156832
247,0,1,0,1,1.52260653827486
248,0,0,0,1,3.63818408530979
249,0,3,1,1,4.38520209141547
250,0,1,0,1,3.56886172945215
251,0,0,0,1,3.51490140360424
252,0,1,0,1,4.79131774001532
253,0,2,1,1,3.97771218761978
254,0,3,1,2,5.25115451680515
255,0,4,0,2,4.61195869158677
256,0,4,1,2,2.93792004252448
257,0,4,1,2,4.44675479980757
258,0,2,1,1,4.38274477960862
259,0,0,0,1,3.58156772577543
260,0,4,0,1,3.63739410139307
261,0,1,0,1,0
262,0,2,1,1,2.79754074711464
263,0,0,1,1,1.92951635504285
264,0,2,0,1,4.49594734239172
265,0,2,1,1,4.83633900467886
266,0,3,0,1,4.90313705586456
267,0,1,1,1,0
268,1,3,0,2,3.36943201339176
269,0,4,1,2,3.66625705528295
270,0,0,1,1,0
271,0,0,1,1,3.9815171550628
272,0,1,0,1,0
273,0,0,0,1,3.72888477002814
274,0,2,0,1,4.64067413406919
275,0,2,1,1,4.01628617086534
276,0,4,1,2,3.97158339789509
277,0,2,1,1,3.96488651566108
278,0,1,0,1,5.00336876300679
279,1,2,1,3,4.95426083873532
280,1,3,1,1,5.01674452437618
281,0,2,1,1,3.53049450476973
282,0,4,1,1,4.54225867713645
283,0,0,1,1,4.25005249621947
284,0,1,0,1,3.51569631237312
285,0,3,1,1,4.31691442198855
286,0,1,0,1,2.98594426968927
287,0,4,0,3,4.63572423989637
288,0,0,0,1,3.48057094367022
289,0,1,0,1,3.82689439859289
290,0,0,0,1,2.330399762151
291,0,1,1,1,4.01670862603714
292,0,0,0,1,3.45288964557391
293,0,1,0,1,4.38683957686302
294,1,4,1,3,4.41695298810753
295,0,0,0,1,4.55618136317132
296,0,3,0,1,1.92259909267918
297,0,2,1,1,3.37443553264989
298,0,4,0,1,3.85050814734293
299,0,3,1,1,4.19128840923261
300,0,3,0,2,4.61576427580556
301,0,0,1,1,4.01019240553115
302,0,1,0,1,4.32352191612552
303,0,2,1,1,5.5222721731783
304,0,3,1,1,4.85216734520653
305,0,1,0,1,4.59190804014963
306,0,3,1,1,5.00046020857684
307,0,3,1,1,4.29592395640901
308,0,3,0,1,4.66145102947812
309,0,3,1,2,4.77709650910059
310,0,1,1,1,5.03795105905822
311,0,0,1,1,3.6616061212729
312,0,0,0,1,3.78498398913316
313,0,4,0,1,3.98727317562863
314,0,4,1,3,4.33620078918866
315,0,3,1,1,3.65492811282239
316,0,1,0,1,3.37443553264989
317,0,4,0,1,4.2757272629012
318,0,3,0,1,4.29592395640901
319,0,4,1,2,4.78018437770265
320,0,4,0,2,3.91243955989264
321,0,4,1,1,3.80127564140457
322,0,4,1,1,4.66145102947812
323,0,3,1,1,4.87240818400538
324,0,1,0,1,4.38780263458857
325,0,3,0,1,4.99398954385045
326,0,2,0,1,4.10951622402672
327,0,4,1,2,2.99836038594793
328,0,1,1,1,3.98375642157513
329,0,3,0,1,2.58559528131648
330,0,0,1,1,4.71502063729963
331,0,1,0,1,3.64095427980759
332,0,3,0,1,4.15820347873961
333,0,3,1,1,4.75042424771314
334,0,0,1,1,4.38999479675421
335,0,3,0,1,5.41760162127366
336,0,3,0,1,0
337,0,1,0,1,3.71897746470681
338,0,1,0,1,0
339,0,1,1,1,4.5836731476085
340,0,4,0,1,3.77096334638283
341,0,2,0,1,4.89815870333585
342,0,3,1,1,4.04607148960329
343,0,3,1,1,5.41916083203797
344,0,0,1,2,4.37955757801323
345,1,4,0,3,4.08181425929649
346,0,1,0,1,2.87690708003039
347,1,3,1,1,4.70588689446272
348,0,4,1,2,4.46473855912769
349,0,1,0,1,4.18059728969354
350,0,4,0,1,4.16297057056525
351,0,1,0,1,2.25314763227623
352,0,2,1,1,3.6884947632781
353,0,0,1,1,4.27731493684246
354,0,4,0,1,3.78814345705589
355,0,0,0,1,1.90895444477682
356,0,4,0,1,3.23338545148857
357,0,3,0,1,4.79032655502907
358,0,2,1,1,4.29592395640901
359,0,4,1,1,4.93506709354233
360,0,3,0,1,4.14404136550877
361,0,2,0,2,4.7830881019272
362,0,0,0,1,0
363,1,4,0,2,4.95610135581241
364,0,0,0,1,5.29276862976985
365,0,3,1,2,4.79284460608674
366,0,1,0,1,4.1015325768564
367,0,0,0,1,4.18793804273415
368,0,2,0,3,5.23661928994753
369,0,2,0,1,3.96488651566108
370,0,0,0,1,4.19084572083593
371,0,0,0,1,3.82127384997083
372,0,2,0,1,3.53353764120379
373,0,1,0,1,3.99152923452476
374,0,4,0,1,4.22583139777466
375,0,2,0,1,3.07968697950256
376,0,3,0,1,4.72424003169553
377,0,1,1,1,5.3589684126477
378,0,2,1,1,5.05077131120029
379,0,2,0,1,3.43934912722708
380,0,3,0,1,3.77862657858373
381,1,3,1,2,3.91243955989264
382,0,3,1,1,3.36197664816382
383,1,3,1,2,5.04755064417102
384,1,3,1,1,4.63767942923211
385,0,2,1,1,2.89604240926709
386,0,1,0,2,3.42702141963709
387,0,3,0,1,4.10275660153917
388,0,2,1,1,0
389,0,3,0,1,4.00701415629861
390,0,2,0,1,4.49649293403889
391,0,3,1,1,3.90320371195708
392,0,4,1,1,4.51633897228148
393,0,3,0,1,4.62060601081245
394,0,2,0,1,4.32937126887164
395,0,1,1,1,5.15185606203987
396,1,2,1,1,4.55844312348335
397,0,4,0,1,1.94354605918826
398,0,2,0,1,4.62750630017807
399,0,0,1,1,3.91926940706318
400,0,4,1,1,4.66713417068267
401,0,3,1,1,5.40659300167195
402,0,2,1,1,4.8697298912124
403,0,3,0,1,4.95551538587976
404,0,1,1,1,4.21870158164695
405,0,3,0,1,4.89495400634945
406,0,0,1,1,2.95762014521736
407,0,2,1,1,4.21197646793318
408,0,4,1,2,4.43274544709981
409,0,2,1,2,4.97105632992978
410,0,4,0,1,4.469614738813
411,0,2,0,1,4.38539686078904
412,0,0,1,1,5.05077131120029
413,0,0,1,1,4.07849634804452
414,0,4,0,2,4.88953285149077
415,0,4,0,1,4.58019419470302
416,0,4,1,2,5.46334650952131
417,1,4,1,2,3.96488651566108
418,0,1,0,1,3.91371651691679
419,0,2,1,2,3.64262031157644
420,0,3,0,1,3.26788743494079
421,0,2,0,1,3.90161186514103
422,0,3,0,1,3.10432283083072
423,0,2,0,1,3.03666388120713
424,0,1,0,1,3.43398720448515
425,0,2,1,1,5.02119266996234
426,0,0,1,1,3.60662718690103
427,0,2,0,1,3.43934912722708
428,1,4,1,2,4.14404136550877
429,0,2,1,1,4.88450506311212
430,0,4,1,2,4.51633897228148
431,0,1,0,1,4.88231826386471
432,0,0,0,1,3.45814998906857
433,0,0,1,1,3.16230547337981
434,0,3,0,1,4.1021709876574
435,0,2,1,1,4.69683736059166
436,1,2,1,1,4.89191702968482
437,0,3,0,1,2.30757265348368
438,0,4,0,2,5.18969760855795
439,0,2,1,1,0
440,0,2,1,1,4.24577602884151
441,0,3,1,2,4.93542007919249
442,0,3,1,1,3.79974204986919
443,0,4,1,1,4.46613565918836
444,0,3,1,2,4.25525444286958
445,0,2,0,1,4.18270081726748
446,0,0,0,1,4.17050942761675
447,0,4,1,2,5.40708712607479
448,0,3,1,2,3.95222940523541
449,1,3,1,2,5.35371970753386
450,0,0,0,1,3.97832719688591
451,0,3,1,2,3.85258400841503
452,0,2,1,1,3.60885264883318
453,0,1,0,1,3.82300758533013
454,0,3,0,1,4.04124367713142
455,0,1,0,1,4.21701596218347
456,0,1,0,1,4.80128504401193
457,0,2,0,1,4.29592395640901
458,0,0,1,1,4.89768754208433
459,0,2,0,1,4.87891842795749
460,0,1,0,1,4.00851310298031
461,0,4,0,2,4.74587686442815
462,0,3,0,2,3.86513428401806
463,0,2,0,1,4.32758195735446
464,0,3,0,1,3.0067334921285
465,0,4,1,1,3.28075927603926
466,0,0,1,1,4.49649293403889
467,1,3,1,2,4.58460299188802
468,0,3,1,1,5.24406366548914
469,0,4,1,2,4.22462457408859
470,0,3,1,1,5.24633735153286
471,0,1,1,1,0
472,0,0,1,2,5.460586249528
473,0,1,1,1,0
474,0,2,0,1,1.53827819493077
475,0,3,0,2,4.57289006499147
476,0,3,0,2,3.53986263321072
477,0,3,1,2,4.58755322228214
478,0,3,1,2,4.39679051945964
479,0,3,1,1,3.89724771468402
480,0,1,1,2,3.69946678755835
481,0,4,1,2,5.05646543003975
482,0,4,1,2,3.90161186514103
483,0,0,1,1,3.8922367140581
484,0,1,1,1,4.47993471375823
485,0,0,1,1,2.71011525186466
486,0,3,0,1,2.35985388854383
487,0,3,0,1,4.07147351142269
488,0,1,1,1,3.28197526552428
489,0,1,0,1,3.88284220180448
490,1,3,1,3,3.99071096565482
491,0,1,0,1,3.97427529429286
492,0,2,0,1,4.14569679512441
493,0,0,0,1,5.33926362092584
494,0,1,1,2,4.19672192634483
495,0,1,0,1,4.34078060229221
496,0,3,1,1,3.74901378960043
497,0,2,1,1,5.29533211065899
498,0,2,0,1,5.03440292045675
499,0,1,0,1,2.65406405652266
500,0,1,0,1,3.60145479066122
501,0,2,1,1,3.96488651566108
502,0,0,1,1,1.86308882376019
503,0,1,0,1,3.38452370419056
504,0,1,0,1,0
505,0,2,0,1,4.47238384219664
506,0,3,0,1,3.35525042364083
507,0,1,1,1,5.45869861778881
508,0,2,0,1,3.58441456726304
509,0,2,1,1,4.8697298912124
510,0,1,0,1,4.76980148780564
511,0,4,1,2,4.21323386959562
512,0,4,1,2,4.17631951211403
513,0,4,0,1,4.75042424771314
514,0,1,1,2,2.88568790758877
515,0,2,1,1,3.96488651566108
516,0,4,0,1,5.06925845046829
517,0,0,0,1,4.27298760950626
518,0,2,0,1,3.74091112043774
519,0,4,0,1,4.85663032508821
520,0,4,0,1,5.04419130675078
521,0,1,0,1,4.66635079119965
522,0,4,1,2,2.69576122950531
523,0,0,0,1,2.61752389543717
524,0,1,0,1,3.41046798703013
525,0,1,0,1,5.15119647754004
526,1,4,0,2,4.47460957849631
527,0,4,1,1,5.01248924666417
528,0,3,1,1,1.98727860765763
529,0,3,1,1,3.96488651566108
530,0,0,1,1,4.81715490673203
531,0,3,0,1,4.93033529862056
532,0,2,1,1,5.19165281564873
533,0,2,0,1,3.96488651566108
534,1,3,1,1,1.44956517861064
535,0,0,0,1,0
536,0,1,0,1,2.05798661587062
537,0,1,1,1,2.24268697260574
538,0,3,1,1,4.58723892366115
539,0,0,0,1,5.22687133571884
540,0,3,0,1,3.99485251802033
541,0,4,1,2,4.28699796850931
542,0,2,1,1,4.76314103073666
543,0,4,1,2,4.46287869889657
544,0,2,0,1,4.31941395160406
545,0,4,1,3,5.37441315682141
546,0,2,1,1,4.99021312678025
547,0,0,1,2,4.64850333156832
548,0,1,0,1,4.57162528436194
549,0,2,0,1,5.02278339453291
550,0,3,1,3,4.82608340772706
551,0,0,0,1,3.69380362409381
552,0,0,0,1,4.93837432311792
553,0,3,0,1,4.20197525755485
554,0,1,1,1,5.0869102079135
555,0,2,0,1,3.47357381315206
556,0,0,0,1,3.23003283572861
557,0,3,1,1,5.00271511645951
558,0,2,1,1,5.29964674376493
559,1,3,1,1,4.87549371910486
560,0,0,0,1,4.1092213609859
561,0,1,1,1,3.3998631280907
562,0,2,1,1,4.01981221766774
563,0,2,1,2,4.09422108556434
564,0,2,0,1,3.73889619915754
565,0,0,1,1,3.12707750713985
566,0,2,0,1,4.26358811461172
567,0,2,0,1,3.52368317752666
568,0,4,1,2,4.45639714614828
569,0,1,1,1,3.23223159643854
570,0,0,0,1,2.1826257545407
571,0,4,1,1,4.88133658373604
572,0,1,1,2,3.82392386218619
573,0,2,0,1,0
574,1,1,1,2,4.40346775254826
575,0,3,1,2,4.1337369464692
576,0,2,0,1,3.38937719496827
577,0,0,1,1,5.54358789684851
578,0,4,0,1,4.43179215891599
579,0,2,1,1,4.25525444286958
580,0,1,0,1,3.53254752147825
581,1,4,0,2,4.67051595262646
582,0,2,0,1,3.66625705528295
583,0,2,1,1,2.48237820584901
584,0,0,1,3,4.93905543928931
585,0,3,0,2,3.71897746470681
586,0,4,1,2,3.21358712984544
587,0,2,0,1,3.41939806210084
588,0,3,0,1,2.99836038594793
589,0,2,0,1,4.8354925586716
590,0,3,1,1,5.16827570987643
591,0,2,0,1,4.69423329609872
592,0,2,0,1,4.63572423989637
593,0,0,0,1,1.35403350085592
594,0,0,1,3,4.47364883938917
595,0,3,1,1,3.76525604002486
596,0,3,1,1,2.72470856907087
597,0,0,0,1,4.07618056051747
598,0,1,0,1,4.57792156950407
599,0,3,0,1,0
600,0,0,0,1,3.39216194652073
601,0,2,0,1,4.5319165522464
602,0,1,0,1,4.71109575041085
603,0,3,0,1,3.78002651473539
604,1,4,1,2,5.18165872903665
605,0,2,0,1,1.61387247363368
606,0,1,0,1,3.31374243041135
607,0,3,1,1,4.14605185946574
608,0,4,1,2,5.06988067168761
609,0,1,0,2,4.21485294342909
610,0,1,0,1,4.66145102947812
611,0,2,1,1,5.1437253814742
612,0,0,1,1,3.27914048990429
613,0,3,1,1,4.18422884255149
614,1,3,0,2,4.32090106533693
615,0,0,1,1,2.97022733226984
616,0,0,1,1,3.42600138961351
617,0,0,0,1,3.69886343682923
618,0,0,0,1,4.15820347873961
619,0,4,1,2,4.4113408034214
620,1,1,1,1,3.89724771468402
621,0,3,0,1,4.156493063513
622,0,3,0,1,4.56097715819759
623,0,4,1,1,3.11689441685935
624,0,3,1,2,4.33424462055948
625,0,3,1,2,3.55122854316599
626,0,4,0,1,4.23509695066516
627,0,2,1,1,3.80127564140457
628,0,0,0,1,4.29592395640901
629,0,3,0,1,3.67484336193722
630,0,4,0,1,4.93694532538723
631,1,3,1,1,4.64363647833195
632,0,3,0,1,0
633,1,4,1,1,5.59810441274533
634,0,3,1,2,4.34653578857519
635,0,2,0,1,3.29916797089305
636,0,3,1,2,4.32452213425179
637,0,4,1,2,3.82190914782282
638,0,0,1,1,3.3558090365863
639,0,0,1,1,3.68699598670856
640,0,1,0,1,3.61630878178823
641,1,4,1,2,5.13209798452675
642,0,3,0,1,4.83003771426686
643,0,0,0,1,3.73354369762525
644,1,2,1,2,4.94328945069774
645,0,1,0,1,5.5006344609673
646,0,1,1,1,1.7963783975051
647,0,2,0,1,3.9389612725252
648,0,0,1,1,4.19727353520744
649,0,3,1,2,4.7676669175161
650,0,3,0,1,4.34006359360728
651,0,0,0,1,2.13581215534266
652,0,0,0,1,3.83406146395843
653,1,0,1,1,3.76052584028554
654,0,2,0,1,4.05580022041649
655,0,0,0,1,2.40927343344355
656,0,3,0,1,2.0336857685242
657,0,2,0,1,4.82608340772706
658,0,1,0,1,3.33068360604385
659,0,1,0,1,4.41572655609415
660,0,3,0,1,3.76052584028554
661,0,1,1,1,3.64721701879055
662,0,3,1,1,5.11557021260867
663,0,2,1,1,4.26526343879706
664,0,4,0,2,3.76762987605848
665,0,1,1,1,3.31374243041135
666,0,0,0,1,4.02823865126124
667,0,2,0,2,5.55293001318775
668,1,3,1,2,3.68034802466745
669,0,0,0,1,2.84895137008359
670,0,4,1,3,5.30428440684029
671,0,3,0,1,3.30947898231173
672,0,0,0,1,4.15263713798331
673,0,0,1,1,4.28937024855731
674,0,2,0,1,3.70244253014889
675,0,2,0,1,1.37196454932944
676,0,1,0,1,4.59152488328737
677,0,2,0,1,4.37044014701511
678,1,4,1,2,5.10174437870808
679,0,1,0,1,4.30325801067895
680,0,4,0,1,5.15165986675258
681,0,0,0,2,4.84774026945036
682,0,3,1,1,3.87959820285053
683,0,0,0,1,3.13867054065584
684,0,4,1,1,0
685,0,2,0,1,4.72933283939021
686,0,2,1,2,4.60243918052208
687,0,0,0,1,3.53637217756925
688,1,4,1,3,5.6963374298721
689,0,2,0,1,3.78814345705589
690,0,2,0,1,3.38706286054567
691,0,1,0,1,4.41572655609415
692,0,0,0,1,1.73006588288318
693,0,0,1,1,2.10900031614446
694,0,1,0,1,3.94409072843335
695,0,0,1,1,1.59630859998627
696,0,0,0,1,4.12499106016043
697,0,0,0,1,5.4658455526276
698,0,2,0,1,4.02608241505462
699,0,1,1,1,4.26814219193498
700,0,2,0,1,2.91864216525116
701,0,3,1,2,4.6594478760879
702,0,2,0,1,1.90222506340716
703,0,3,1,1,2.84262276586924
704,0,0,1,2,4.60635996863858
705,0,2,0,1,5.08408290945103
706,0,0,1,1,4.32452213425179
707,0,2,1,1,4.36030362748813
708,0,3,0,1,4.12317891455233
709,0,1,1,1,2.7029087819384
710,0,1,0,1,3.94356333757647
711,1,4,0,1,4.73729433891513
712,0,2,0,1,3.64931387101401
713,0,2,1,1,2.23235996250708
714,0,2,1,1,5.03011514092922
715,1,4,1,1,4.66529189528986
716,0,3,0,1,4.90582337919543
717,0,2,0,1,4.30583797355074
718,0,3,0,2,4.10672714483945
719,1,3,1,2,5.13540620926009
720,0,3,1,2,3.59492706143466
721,0,1,0,1,4.88161461597337
722,0,3,1,1,5.37376997064713
723,0,2,1,2,4.24781468651448
724,0,0,1,1,5.22619121272291
725,1,2,1,2,5.39505322636482
726,0,1,1,1,5.1860880522971
727,0,3,0,1,4.64850333156832
728,1,4,1,3,5.42766829935797
729,0,1,0,1,4.26908712533707
730,1,3,1,2,5.35406006010084
731,0,4,1,1,4.83491258345098
732,0,3,1,1,4.47704165206997
733,0,2,0,1,4.95534317246069
734,0,1,0,1,2.5908351794112
735,0,3,0,1,4.21790795590804
736,0,2,1,1,3.60555753096663
737,0,2,0,1,4.54420624173862
738,0,2,1,1,4.01724655644551
739,1,4,1,2,2.61752389543717
740,0,0,0,1,4.32675715671133
741,0,3,1,1,4.37937610669338
742,0,3,0,1,3.85356888270427
743,0,4,1,2,4.37413472401877
744,1,4,1,1,4.55618136317132
745,0,2,0,1,3.07665373601002
746,0,2,0,2,4.00462476168488
747,0,1,0,1,5.56234685565059
748,1,2,1,3,4.7328791112783
749,0,3,1,1,4.2886447169522
750,1,4,1,3,3.88796227895586
751,0,3,1,1,4.90058545600546
752,1,2,1,2,4.37044014701511
753,0,2,0,1,3.70107749401541
754,0,4,0,3,5.0467241322273
755,0,2,1,1,4.38274477960862
756,0,2,0,1,3.96488651566108
757,0,0,1,1,1.17817709133072
758,0,1,0,1,4.45796983473878
759,0,2,1,1,4.73547392890927
760,0,0,0,1,0
761,0,1,0,1,5.1166497706797
762,0,2,1,1,4.47315166903716
763,0,4,1,2,4.62520077155992
764,0,1,0,1,2.53390027405423
765,0,2,0,1,3.59228798391313
766,0,1,0,2,4.69374574453541
767,1,4,1,3,4.86090937071983
768,0,4,0,1,0
769,0,2,1,1,4.26358811461172
770,1,4,1,2,3.82190914782282
771,0,0,1,1,5.2922681467726
772,0,3,1,1,4.51633897228148
773,0,2,0,2,4.56097715819759
774,0,4,0,1,3.87571978518027
775,0,2,0,1,4.00578460687651
776,0,4,0,2,2.79090583861265
777,0,3,1,1,3.79974204986919
778,0,1,1,1,3.19716026373352
779,0,2,1,1,3.67916579530971
780,0,0,0,1,3.37443553264989
781,0,1,0,1,3.3472423733058
782,0,0,0,1,4.18270081726748
783,0,1,1,1,4.62264546050414
