This is an example of our Gompertz Transient regrowth curve applied to four radiation groups (Chapter 10).
Reference:  Rygaardt, K. and Spang-Thomsen, M. (1997). Quantitation and Gompertzian analysis of tumor growth. Breast Cancer Research and Treatment 46, 303--312.
Here id indicates mouse id; day is in days after radiation treatment (0 means the day of radiation); Dose is the dose of a single radiation; LTV is LOG tumor volume.

obs id day Dose      LTV 
250 15  14  0 6.553534179
251 15  16  0 6.671419591
252 15  20  0 6.844213159
253 15  23  0 7.074328479
254 15  26  0 7.418348222
255 15  28  0 7.449817908
256 16 -14  0 3.285735512
257 16 -12  0 3.199997892
258 16  -9  0 3.837322683
259 16  -6  0 4.194939218
260 16  -2  0 4.877043453
261 16   0  0 4.961177653
262 16   2  0 4.988205412
263 16   5  0 5.485241116
264 16   7  0 5.322920739
265 16   9  0 5.827629094
266 16  12  0 5.959421127
267 16  14  0 5.959421127
268 16  16  0 6.156209443
269 16  20  0 6.216458505
270 16  23  0 6.216458505
271 16  26  0 6.780711613
272 16  28  0 6.788797886
273 17 -14  0 2.797601912
274 17 -12  0 3.366836344
275 17  -9  0 4.556682303
276 17  -6  0 5.257216805
277 17  -2  0 5.560256746
278 17   0  0 5.987199699
279 17   2  0 6.330149264
280 17   5  0 6.054475548
281 17   7  0 6.722853201
282 17   9  0 7.308408924
283 17  12  0 7.525719428
284 17  14  0 7.525719428
285 17  16  0 7.579036834
286 17  20  0 7.887814915
287 17  23  0 7.887814915
288 17  26  0 8.587481411
289 17  28  0 8.757387611
290 18 -14  0 2.908763870
291 18 -12  0 3.012253177
292 18  -9  0 3.366836344
293 18  -6  0 3.948484641
294 18  -2  0 4.626462326
295 18   0  0 5.066484041
296 18   2  0 5.344197691
297 18   5  0 5.857933154
298 18   7  0 5.541851608
299 18   9  0 5.344197691
300 18  12  0 6.609096086
301 18  14  0 6.609096086
302 18  16  0 6.985057288
303 18  20  0 7.164873203
304 18  23  0 7.164873203
305 18  26  0 8.207728772
306 18  28  0 8.287015519
307 19 -14  0 4.001121620
308 19 -12  0 3.443776286
309 19  -9  0 3.948484641
310 19  -6  0 4.194939218
311 19  -2  0 4.756979392
312 19   0  0 5.116488672
313 19   2  0 5.211758780
314 19   5  0 5.683132430
315 19   7  0 5.446277886
316 19   9  0 5.902271358
317 19  12  0 6.131415490
318 19  14  0 6.131415490
319 19  16  0 6.415278489
320 19  20  0 6.466130817
321 19  23  0 6.466130817
322 19  26  0 6.645025948
323 19  28  0 6.963679253
324 20 -14  0 3.778491613
325 20 -12  0 4.148781730
326 20  -9  0 5.066484041
327 20  -6  0 5.541851608
328 20  -2  0 6.080563162
329 20   0  0 6.204600736
330 20   2  0 6.476097631
331 20   5  0 6.851965114
332 20   7  0 6.756187906
333 20   9  0 6.905135238
334 20  12  0 7.094196319
335 20  14  0 7.094196319
336 20  16  0 7.314101530
337 20  20  0 7.579036834
338 20  23  0 7.579036834
339 20  26  0 8.166456327
340 20  28  0 8.295900047
341 21 -14  0 3.109060959
342 21 -12  0 2.797601912
343 21  -9  0 4.051973948
344 21  -6  0 4.148781730
345 21  -2  0 4.988205412
346 21   0  0 5.523217828
347 21   2  0 5.560256746
348 21   5  0 6.054475548
349 21   7  0 6.093438778
350 21   9  0 6.562938598
351 21  12  0 6.756187906
352 21  14  0 6.756187906
353 21  16  0 6.796840801
354 21  20  0 7.158583886
355 21  23  0 7.158583886
356 21  26  0 7.988976836
357 21  28  0 8.223305236
358 22 -14  0 3.285735512
359 22 -12  0 3.516961532
360 22  -9  0 4.483497057
361 22  -6  0 4.905615746
362 22  -2  0 5.040842391
363 22   0  0 5.406275515
364 22   2  0 5.780993213
365 22   5  0 6.180600224
366 22   7  0 6.131415490
367 22   9  0 6.562938598
368 22  12  0 6.688760824
369 22  14  0 6.688760824
370 22  16  0 6.977965076
371 22  20  0 7.013095487
372 22  23  0 7.013095487
373 22  26  0 7.728481595
374 22  28  0 7.795908677
375 23 -14  3 2.908763870
376 23 -12  3 3.285735512
377 23  -9  3 3.837322683
378 23  -6  3 3.717258621
379 23  -2  3 4.239718662
380 23   0  3 4.445520345
381 23   2  3 4.877043453
382 23   5  3 5.279439433
383 23   7  3 5.485241116
384 23   9  3 6.054475548
385 23  12  3 6.156209443
386 23  14  3 6.505606779
387 23  16  3 6.572284423
388 23  20  3 6.859677213
389 23  23  3 7.120283933
390 23  26  3 7.418348222
391 23  28  3 7.545327550
392 24 -14  3 2.547020785
393 24 -12  3 2.547020785
394 24  -9  3 2.797601912
395 24  -6  3 3.837322683
396 24  -2  3 3.948484641
397 24   0  3 4.001121620
398 24   2  3 4.961177653
399 24   5  3 5.279439433
400 24   7  3 4.520535976
401 24   9  3 5.040842391
402 24  12  3 5.485241116
403 24  14  3 5.973374716
404 24  16  3 6.285701568
405 24  20  3 6.874983469
406 24  23  3 7.183584465
407 24  26  3 7.152268087
408 24  28  3 7.331050863
409 25 -14  3 3.109060959
410 25 -12  3 3.366836344
411 25  -9  3 3.653419199
412 25  -6  3 4.556682303
413 25  -2  3 5.014754777
414 25   0  3 5.279439433
415 25   2  3 5.465886008
416 25   5  3 6.000898424
417 25   7  3 5.426410046
418 25   9  3 6.131415490
419 25  12  3 5.812244343
420 25  14  3 6.106204812
421 25  16  3 6.341058403
422 25  20  3 6.599977517
423 25  23  3 6.772581512
424 25  26  3 6.927357866
425 25  28  3 6.985057288
426 26 -14  3 2.797601912
427 26 -12  3 2.797601912
428 26  -9  3 3.516961532
429 26  -6  3 4.626462326
430 26  -2  3 5.091694719
431 26   0  3 5.211758780
432 26   2  3 5.066484041
433 26   5  3 5.614154760
434 26   7  3 5.446277886
435 26   9  3 5.796700163
436 26  12  3 6.000898424
437 26  14  3 6.415278489
438 26  16  3 6.714402474
439 26  20  3 7.145925583
440 26  23  3 7.515818402
441 26  26  3 7.698001591
442 26  28  3 7.662391610
443 27 -14  3 2.677537850
444 27 -12  3 2.677537850
445 27  -9  3 2.908763870
446 27  -6  3 3.516961532
447 27  -2  3 4.283199968
448 27   0  3 4.366554744
449 27   2  3 4.725399278
450 27   5  3 5.365177054
451 27   7  3 5.164879965
452 27   9  3 5.188502501
453 27  12  3 5.614154760
454 27  14  3 5.765120049
455 27  16  3 5.931118401
456 27  20  3 6.156209443
457 27  23  3 6.383918462
458 27  26  3 6.927357866
459 27  28  3 6.680115267
460 28 -14  3 3.012253177
461 28 -12  3 3.012253177
462 28  -9  3 3.653419199
463 28  -6  3 4.051973948
464 28  -2  3 4.520535976
465 28   0  3 4.756979392
466 28   2  3 4.693139970
467 28   5  3 5.140879453
468 28   7  3 4.366554744
469 28   9  3 5.091694719
470 28  12  3 5.322920739
471 28  14  3 5.649040053
472 28  16  3 5.541851608
473 28  20  3 5.796700163
474 28  23  3 6.054475548
475 28  26  3 5.959421127
476 28  28  3 6.296937575
477 29 -14  3 2.404055515
478 29 -12  3 1.869043099
479 29  -9  3 3.199997892
480 29  -6  3 3.285735512
481 29  -2  3 3.837322683
482 29   0  3 3.586741556
483 29   2  3 4.148781730
484 29   5  3 4.520535976
485 29   7  3 4.406557115
486 29   9  3 4.660171610
487 29  12  3 5.040842391
488 29  14  3 5.279439433
489 29  16  3 5.211758780
490 29  20  3 5.344197691
491 29  23  3 5.902271358
492 29  26  3 6.067576068
493 29  28  3 6.466130817
494 30 -14  3 2.908763870
495 30 -12  3 3.199997892
496 30  -9  3 4.283199968
497 30  -6  3 4.483497057
498 30  -2  3 4.660171610
499 30   0  3 5.188502501
500 30   2  3 5.066484041
501 30   5  3 5.578438787
502 30   7  3 5.344197691
503 30   9  3 5.716467135
504 30  12  3 5.887637095
505 30  14  3 6.192648481
506 30  16  3 6.351888775
507 30  20  3 6.780711613
508 30  23  3 7.145925583
509 30  26  3 7.220320995
510 30  28  3 7.364385568
511 31 -14  5 3.366836344
512 31 -12  5 3.893933175
513 31  -9  5 4.239718662
514 31  -6  5 4.483497057
515 31  -2  5 4.905615746
516 31   0  5 5.188502501
517 31   2  5 5.699892381
518 31   5  5 5.446277886
519 31   7  5 5.257216805
520 31   9  5 5.040842391
521 31  12  5 5.426410046
522 31  14  5 5.485241116
523 31  16  5 5.872858651
524 31  20  5 6.351888775
525 31  23  5 6.485998657
526 31  26  5 6.118863115
527 31  28  5 6.581572378
528 31  30  5 6.228223271
529 31  33  5 7.291200322
530 32 -14  5 2.797601912
531 32 -12  5 3.366836344
532 32  -9  5 3.443776286
533 32  -6  5 4.283199968
534 32  -2  5 4.483497057
535 32   0  5 4.756979392
536 32   2  5 5.365177054
537 32   5  5 5.301337632
538 32   7  5 4.988205412
539 32   9  5 5.140879453
540 32  12  5 5.140879453
541 32  14  5 5.465886008
542 32  16  5 5.446277886
543 32  20  5 6.080563162
544 32  23  5 6.394444821
545 32  26  5 6.216458505
546 32  28  5 6.636123845
547 32  30  5 6.919986844
548 32  33  5 7.208175179
549 33 -14  5 2.246014742
550 33 -12  5 2.677537850
551 33  -9  5 3.443776286
552 33  -6  5 3.199997892
553 33  -2  5 4.101158682
554 33   0  5 4.693139970
555 33   2  5 4.933653945
556 33   5  5 5.091694719
557 33   7  5 4.756979392
558 33   9  5 5.279439433
559 33  12  5 5.234659989
560 33  14  5 5.699892381
561 33  16  5 5.765120049
562 33  20  5 6.308090043
563 33  23  5 6.466130817
564 33  26  5 6.524961886
565 33  28  5 6.859677213
566 33  30  5 7.202065191
567 33  33  5 7.285419968
568 34 -14  5 1.637817079
569 34 -12  5 3.109060959
570 34  -9  5 3.109060959
571 34  -6  5 3.653419199
572 34  -2  5 4.325456283
573 34   0  5 4.591978049
574 34   2  5 4.693139970
575 34   5  5 5.140879453
576 34   7  5 4.988205412
577 34   9  5 5.211758780
578 34  12  5 5.406275515
579 34  14  5 5.596403074
580 34  16  5 5.614154760
581 34  20  5 5.887637095
582 34  23  5 6.156209443
583 34  26  5 6.106204812
584 34  28  5 6.435826756
585 34  30  5 6.341058403
586 34  33  5 6.780711613
587 35 -14  5 2.797601912
588 35 -12  5 3.012253177
589 35  -9  5 3.199997892
590 35  -6  5 3.586741556
591 35  -2  5 4.626462326
592 35   0  5 4.877043453
593 35   2  5 5.066484041
594 35   5  5 4.961177653
595 35   7  5 5.091694719
596 35   9  5 5.211758780
597 35  12  5 5.116488672
598 35  14  5 5.614154760
599 35  16  5 5.857933154
600 35  20  5 6.425587808
601 35  23  5 6.618159558
602 35  26  5 6.788797886
603 35  28  5 6.934692844
604 35  30  5 7.232369252
605 35  33  5 7.520777084
606 36 -14  5 2.246014742
607 36 -12  5 2.404055515
608 36  -9  5 2.797601912
609 36  -6  5 3.199997892
610 36  -2  5 4.101158682
611 36   0  5 4.406557115
612 36   2  5 4.626462326
613 36   5  5 4.725399278
614 36   7  5 4.148781730
615 36   9  5 4.847916325
616 36  12  5 4.818212384
617 36  14  5 5.322920739
618 36  16  5 5.541851608
619 36  20  5 5.465886008
620 36  23  5 5.749077115
621 36  26  5 5.916764224
622 36  28  5 5.973374716
623 36  30  5 6.143863694
624 36  33  5 6.351888775
625 37 -14  5 3.285735512
626 37 -12  5 3.586741556
627 37  -9  5 4.325456283
628 37  -6  5 4.406557115
629 37  -2  5 4.693139970
630 37   0  5 4.877043453
631 37   2  5 4.877043453
632 37   5  5 4.847916325
633 37   7  5 4.877043453
634 37   9  5 5.116488672
635 37  12  5 5.301337632
636 37  14  5 5.649040053
637 37  16  5 5.683132430
638 37  20  5 5.987199699
639 37  23  5 6.362641509
640 37  26  5 6.456097334
641 37  28  5 6.466130817
642 37  30  5 6.867349864
643 37  33  5 7.256179276
644 38 -14 10 2.677537850
645 38 -12 10 2.797601912
646 38  -9 10 3.516961532
647 38  -6 10 4.001121620
648 38  -2 10 4.520535976
649 38   0 10 4.520535976
650 38   2 10 4.877043453
651 38   5 10 4.325456283
652 38   7 10 4.239718662
653 38   9 10 4.194939218
654 38  12 10 4.725399278
655 38  14 10 4.626462326
656 38  16 10 5.140879453
657 38  20 10 5.188502501
658 38  23 10 4.988205412
659 38  26 10 4.961177653
660 38  28 10 5.066484041
661 38  30 10 5.140879453
662 38  33 10 5.465886008
663 38  35 10 5.812244343
664 38  37 10 5.749077115
665 38  40 10 5.812244343
666 38  42 10 6.341058403
667 39 -14 10 2.404055515
668 39 -12 10 3.516961532
669 39  -9 10 4.001121620
670 39  -6 10 4.725399278
671 39  -2 10 5.666183097
672 39   0 10 5.973374716
673 39   2 10 6.014473177
674 39   5 10 5.857933154
675 39   7 10 5.523217828
676 39   9 10 5.857933154
677 39  12 10 5.973374716
678 39  14 10 6.156209443
679 39  16 10 6.204600736
680 39  20 10 6.373317711
681 39  23 10 6.618159558
682 39  26 10 6.705903868
683 39  28 10 6.599977517
684 39  30 10 7.133159549
685 39  33 10 7.120283933
686 39  35 10 7.331050863
687 39  37 10 7.520777084
688 39  40 10 7.485717057
689 39  42 10 7.956008476
690 40 -14 10 3.109060959
691 40 -12 10 3.516961532
692 40  -9 10 3.893933175
693 40  -6 10 4.001121620
694 40  -2 10 4.847916325
695 40   0 10 4.961177653
696 40   2 10 5.211758780
697 40   5 10 4.626462326
698 40   7 10 4.877043453
699 40   9 10 5.116488672
700 40  12 10 5.257216805
701 40  14 10 5.279439433
702 40  16 10 5.465886008
703 40  20 10 5.666183097
704 40  23 10 5.631698820
705 40  26 10 5.560256746
706 40  28 10 5.857933154
707 40  30 10 5.887637095
708 40  33 10 6.394444821
709 40  35 10 6.505606779
710 40  37 10 6.562938598
711 40  40 10 6.764407105
712 40  42 10 7.033785470
713 41 -14 10 3.012253177
714 41 -12 10 2.797601912
715 41  -9 10 3.285735512
716 41  -6 10 3.893933175
717 41  -2 10 4.101158682
718 41   0 10 4.787908323
719 41   2 10 4.847916325
720 41   5 10 4.877043453
721 41   7 10 4.051973948
722 41   9 10 4.325456283
723 41  12 10 4.756979392
724 41  14 10 4.877043453
725 41  16 10 4.961177653
726 41  20 10 5.014754777
727 41  23 10 5.541851608
728 41  26 10 5.596403074
729 41  28 10 5.749077115
730 41  30 10 5.931118401
731 41  33 10 6.143863694
732 41  35 10 6.262973860
733 41  37 10 6.435826756
734 41  40 10 6.515315551
735 41  42 10 6.890135113
736 42 -14 10 3.893933175
737 42 -12 10 3.717258621
738 42  -9 10 4.818212384
739 42  -6 10 5.211758780
740 42  -2 10 5.749077115
741 42   0 10 5.796700163
742 42   2 10 5.780993213
743 42   5 10 6.192648481
744 42   7 10 5.426410046
745 42   9 10 5.916764224
746 42  12 10 5.827629094
747 42  14 10 6.067576068
748 42  16 10 6.000898424
749 42  20 10 6.341058403
750 42  23 10 6.581572378
751 42  26 10 6.796840801
752 42  28 10 6.844213159
753 42  30 10 7.020023906
754 42  33 10 7.238357284
755 42  35 10 7.413038482
756 42  37 10 7.602659369
757 42  40 10 7.737077607
758 42  42 10 7.808220648
759 43 -14 10 2.547020785
760 43 -12 10 2.246014742
761 43  -9 10 3.443776286
762 43  -6 10 3.586741556
763 43  -2 10 3.778491613
764 43   0 10 4.325456283
765 43   2 10 4.445520345
766 43   5 10 4.483497057
767 43   7 10 4.283199968
768 43   9 10 3.948484641
769 43  12 10 4.194939218
770 43  14 10 4.660171610
771 43  16 10 4.787908323
772 43  20 10 4.591978049
773 43  23 10 4.756979392
774 43  26 10 4.725399278
775 43  28 10 4.756979392
776 43  30 10 5.188502501
777 43  33 10 5.365177054
778 43  35 10 5.699892381
779 43  37 10 5.987199699
780 43  40 10 6.168454409
781 43  42 10 6.394444821
782 44 -14 10 3.109060959
783 44 -12 10 3.586741556
784 44  -9 10 4.283199968
785 44  -6 10 4.101158682
786 44  -2 10 4.556682303
787 44   0 10 4.961177653
788 44   2 10 5.279439433
789 44   5 10 5.211758780
790 44   7 10 4.961177653
791 44   9 10 5.279439433
792 44  12 10 4.877043453
793 44  14 10 5.365177054
794 44  16 10 5.614154760
795 44  20 10 5.234659989
796 44  23 10 5.279439433
797 44  26 10 5.842857651
798 44  28 10 5.945336517
799 44  30 10 6.131415490
800 44  33 10 6.544070425
801 44  35 10 6.572284423
802 44  37 10 6.581572378
803 44  40 10 6.599977517
804 44  42 10 7.080980374
805 45 -14 10 3.285735512
806 45 -12 10 3.109060959
807 45  -9 10 3.948484641
808 45  -6 10 3.948484641
809 45  -2 10 4.194939218
810 45   0 10 4.591978049
811 45   2 10 4.693139970
812 45   5 10 4.626462326
813 45   7 10 4.406557115
814 45   9 10 4.445520345
815 45  12 10 4.818212384
816 45  14 10 4.725399278
817 45  16 10 4.905615746
818 45  20 10 4.933653945
819 45  23 10 5.322920739
820 45  26 10 5.091694719
821 45  28 10 5.504349654
822 45  30 10 5.560256746
823 45  33 10 5.780993213
824 45  35 10 5.812244343
825 45  37 10 5.902271358
826 45  40 10 6.192648481
827 45  42 10 6.330149264
828 46 -14 10 2.908763870
829 46 -12 10 3.012253177
830 46  -9 10 4.148781730
831 46  -6 10 4.148781730
832 46  -2 10 5.188502501
833 46   0 10 5.279439433
834 46   2 10 5.406275515
835 46   5 10 5.716467135
836 46   7 10 5.091694719
837 46   9 10 5.596403074
838 46  12 10 5.614154760
839 46  14 10 5.842857651
840 46  16 10 5.749077115
841 46  20 10 5.872858651
842 46  23 10 6.041259604
843 46  26 10 6.192648481
844 46  28 10 6.362641509
845 46  30 10 6.495834758
846 46  33 10 6.697356836
847 46  35 10 6.867349864
848 46  37 10 6.949256065
849 46  40 10 7.006134918
850 46  42 10 7.428911646
